Î»,gs,mu_ss,mu_as,n_ts,n_m
1000,0.52,160,2,1.5,1.5
1050,0.491,142.3199115,1,1.5,1.5
1100,0.462,127.2850913,1,1.5,1.5
1150,0.433,114.4050422,1,1.5,1.5
1200,0.404,103.2963539,1,1.5,1.5
1250,0.375,93.65607463,1,1.5,1.5
1300,0.346,85.24245267,1,1.5,1.5
1350,0.317,77.86081373,1,1.5,1.5
1400,0.288,71.3530755,4,1.5,1.5
1450,0.259,65.58987108,6,1.5,1.5
1500,0.23,60.46456892,5,1.5,1.5
1550,0.201,55.88868703,3,1.5,1.5
1600,0.172,51.78834402,2,1.5,1.5
1650,0.143,48.10148858,2,1.5,1.5
1700,0.114,44.7757193,2,1.5,1.5
1750,0.085,41.76655603,2,1.5,1.5
1800,0.056,39.03605942,3,1.5,1.5
1850,0.027,36.55172137,3,1.5,1.5
1900,0,34.28556734,7,1.5,1.5
1950,0,32.21342596,10,1.5,1.5
2000,0,30.31433133,8,1.5,1.5
